Phrase,IPA,ES Pronunciation,ES Translation,Island
You are welcome here.,/juː ɑː ˈwɛlkəm hɪə/,yu ar welkom jir.,Eres bienvenido aquí.,01 hundred / apples
You are not welcome here.,/juː ɑː nɒt ˈwɛlkəm hɪə/,yu ar not welkom jia.,No eres bienvenido aquí.,01 hundred / apples
Are you welcome here?,/ɑː juː ˈwɛlkəm hɪə/,ar yu welkom jia?,¿Eres bienvenido aquí?,01 hundred / apples
Who is welcome here?,/huː ɪz ˈwɛlkəm hɪə/,ju is welkom jia?,¿Quién es bienvenido aquí?,01 hundred / apples
You were welcome here.,/juː wɜː ˈwɛlkəm hɪə/,yu wer welkom jia.,Fuiste bienvenido aquí.,01 hundred / apples
"Hey, excuse me.",/heɪ ɪksˈkjuːz miː/,"ei, ekskius mi.","Oye, discúlpame.",01 hundred / apples
"Excuse me, sir.",/ɪksˈkjuːz miː sɜː/,"ekskius mi, ser.","Disculpe, señor.",01 hundred / apples
I want to apologize.,/aɪ wɒnt tuː əˈpɒlədʒaɪz/,ai uant tu apoloyais.,Quiero disculparme.,01 hundred / apples
I am sorry now.,/aɪ æm ˈsɒri naʊ/,ai am sori nau.,Lo siento ahora.,01 hundred / apples
I can forgive you.,/aɪ kæn fəˈgɪv juː/,ai ken forgiv yu.,Puedo perdonarte.,01 hundred / apples
It is okay today.,/ɪt ɪz əʊˈkeɪ təˈdeɪ/,it is okei tudei.,Está bien hoy.,01 hundred / apples
Please help me.,/pliːz hɛlp miː/,pliz jelp mi.,Por favor ayúdame.,01 hundred / apples
Do not forget it.,/duː nɒt fəˈgɛt ɪt/,du not forget it.,No lo olvides.,01 hundred / apples
I go certainly.,/aɪ gəʊ ˈsɜːtnli/,ai gou sertli.,Voy ciertamente.,01 hundred / apples
Of course not now.,/ɒv kɔːs nɒt naʊ/,of cors not nau.,Por supuesto que no.,01 hundred / apples
"Excuse me, please.",/ɪksˈkjuːz miː pliːz/,"ekskius mi, pliz.","Disculpe, por favor.",01 hundred / apples
"Hello, mister.",/həˈləʊ ˈmɪstə/,"jalo, mister.","Hola, señor.",01 hundred / apples
"Yes, ma'am.",/jɛs mæm/,"yes, mam.","Sí, señora.",01 hundred / apples
She is a miss.,/ʃiː ɪz ə mɪs/,shi is a mis.,Ella es una señorita.,01 hundred / apples
He is a young man.,/hiː ɪz ə jʌŋ mæn/,ji is a yang man.,Él es un joven.,01 hundred / apples
The boy is small.,/ðə bɔɪ ɪz smɔːl/,de boy is esmol.,El niño es pequeño.,01 hundred / apples
The girl plays.,/ðə gɜːl pleɪz/,de guerl pleis.,La niña juega.,01 hundred / apples
I have zero apples.,/aɪ hæv ˈzɪərəʊ ˈæplz/,ai jav ziro aples.,Tengo cero manzanas.,01 hundred / apples
I see one dog.,/aɪ siː wʌn dɒg/,ai si uan dog.,Veo un perro.,01 hundred / apples
I do not see one dog.,/aɪ dʌ nɒt siː wʌn dɒg/,ai da not si uan dog.,No veo un perro.,01 hundred / apples
Do you see one dog?,/duː juː siː wʌn dɒg/,du yu si uan dog?,¿Ves un perro?,01 hundred / apples
Why do you see one dog?,/waɪ du juː siː wʌn dɒɡ/,uai du yu si uan dog?,¿Por qué ves un perro?,01 hundred / apples
I saw one dog.,/aɪ sɔː wʌn dɒg/,ai so uan dog.,Vi un perro.,01 hundred / apples
I have two cats.,/aɪ hæv tuː kæts/,ai jav tu kats.,Tengo dos gatos.,01 hundred / apples
I eat three eggs.,/aɪ iːt θriː ɛgz/,ai iit sri eggs.,Como tres huevos.,01 hundred / apples
I need four pens.,/aɪ niːd fɔː pɛnz/,ai nid for pens.,Necesito cuatro bolígrafos.,01 hundred / apples
I have five books.,/aɪ hæv faɪv bʊks/,ai jav faiv buks.,Tengo cinco libros.,01 hundred / apples
I have six red apples.,/aɪ hæv sɪks rɛd ˈæpəlz/,ai jav six red apels.,Tengo seis manzanas rojas.,01 hundred / apples
She is seven years old.,/ʃiː ɪz ˈsɛvən jɪərz əʊld/,shi iz seven yiers old.,Ella tiene siete años.,01 hundred / apples
There are eight birds.,/ðeər ɑːr eɪt bɜːrdz/,der ar eit berds.,Hay ocho pájaros.,01 hundred / apples
It is nine o'clock.,/ɪt ɪz naɪn əˈklɒk/,it iz nain oclok.,Son las nueve en punto.,01 hundred / apples
I see ten dogs.,/aɪ siː tɛn dɒgz/,ai si ten dogs.,Veo diez perros.,01 hundred / apples
He has eleven books.,/hiː hæz ɪˈlɛvən bʊks/,ji jav ileven buks.,Él tiene once libros.,01 hundred / apples
He does not have eleven books.,/hiː dʌz nɒt hæv ɪˈlɛvən bʊks/,ji das not jav ileven buks.,Él no tiene once libros.,01 hundred / apples
Does he have eleven books?,/dʌz hiː hæv ɪˈlɛvən bʊks/,das ji jav ileven buks?,¿Él tiene once libros?,01 hundred / apples
How many books does he have?,/haʊ ˈmɛni bʊks dʌz hiː hæv/,jau meni buks das ji jav?,¿Cuántos libros tiene él?,01 hundred / apples
He had eleven books.,/hiː hæd ɪˈlɛvən bʊks/,ji jad ileven buks.,Él tenía once libros.,01 hundred / apples
We eat at twelve.,/wiː iːt æt twɛlv/,ui it at tuelf.,Comemos a las doce.,01 hundred / apples
My sister is thirteen.,/maɪ ˈsɪstər ɪz ˌθɜːrˈtiːn/,mai syster is zirtin.,Mi hermana tiene trece años.,01 hundred / apples
There are fourteen cars.,/ðeər ɑːr ˌfɔːrˈtiːn kɑːrz/,der ar fortin cars.,Hay catorce coches.,01 hundred / apples
I need fifteen eggs.,/aɪ niːd ˌfɪfˈtiːn ɛgz/,ai nid fiftein eggs.,Necesito quince huevos.,01 hundred / apples
They are sixteen.,/ðeɪ ɑːr ˌsɪksˈtiːn/,dei ar sixtin.,Ellos tienen dieciséis años.,01 hundred / apples
She has seventeen cats.,/ʃiː hæz ˌsɛvənˈtiːn kæts/,shi jav seventin cats.,Ella tiene diecisiete gatos.,01 hundred / apples
She doesn't have seventeen cats.,/ʃiː ˈdʌznt hæv ˌsɛvənˈtiːn kæts/,shi daznt jav seventin cats.,Ella no tiene diecisiete gatos.,01 hundred / apples
Does she have seventeen cats?,/dʌz ʃiː hæv ˌsɛvənˈtiːn kæts/,daz shi jav seventin cats?,¿Ella tiene diecisiete gatos?,01 hundred / apples
Who has seventeen cats?,/huː hæz ˌsɛvənˈtiːn kæts/,ju jav seventin cats?,¿Quién tiene diecisiete gatos?,01 hundred / apples
She had seventeen cats.,/ʃiː hæd ˌsɛvənˈtiːn kæts/,shi jad seventin cats.,Ella tenía diecisiete gatos.,01 hundred / apples
He is eighteen today.,/hiː ɪz ˌeɪˈtiːn təˈdeɪ/,ji iz eitin tudei.,Él tiene dieciocho años hoy.,01 hundred / apples
I see nineteen trees.,/aɪ siː ˌnaɪnˈtiːn triːz/,ai si naintin tris.,Veo diecinueve árboles.,01 hundred / apples
It is twenty degrees.,/ɪt ɪz ˈtwɛnti dɪˈgriːz/,it iz tuenti digris.,Hace veinte grados.,01 hundred / apples
I live at twenty-one.,/aɪ lɪv æt ˈtwɛnti wʌn/,ai liv at tuenti uan.,Vivo en el veintiuno.,01 hundred / apples
There are thirty days.,/ðeər ɑːr ˈθɜːrti deɪz/,der ar zirti deis.,Hay treinta días.,01 hundred / apples
She is forty years old.,/ʃiː ɪz ˈfɔːrti jɪərz əʊld/,shi iz forti yiers old.,Ella tiene cuarenta años.,01 hundred / apples
It costs fifty dollars.,/ɪt kɒsts ˈfɪfti ˈdɒlərz/,it casts fifti dolars.,Cuesta cincuenta dólares.,01 hundred / apples
He has sixty students.,/hiː hæz ˈsɪksti ˈstjuːdənts/,ji jav sikti students.,Él tiene sesenta estudiantes.,01 hundred / apples
He doesn't have sixty students.,/hiː ˈdʌznt hæv ˈsɪksti ˈstjuːdənts/,ji daznt jav sikti students.,Él no tiene sesenta estudiantes.,01 hundred / apples
Does he have sixty students?,/dʌz hiː hæv ˈsɪksti ˈstjuːdənts/,daz ji jav sikti students?,¿Él tiene sesenta estudiantes?,01 hundred / apples
Why does he have sixty students?,/waɪ dʌz hiː hæv ˈsɪksti ˈstjuːdənts/,wai daz ji jav sikti students?,¿Por qué él tiene sesenta estudiantes?,01 hundred / apples
He had sixty students.,/hiː hæd ˈsɪksti ˈstjuːdənts/,ji jad sikti students.,Él tenía sesenta estudiantes.,01 hundred / apples
My dad is seventy.,/maɪ dæd ɪz ˈsɛvənti/,mai dad is seventi.,Mi papá tiene setenta años.,01 hundred / apples
The speed is eighty.,/ðə spiːd ɪz ˈeɪti/,de espid is eiti.,La velocidad es ochenta.,01 hundred / apples
It is ninety degrees.,/ɪt ɪz ˈnaɪnti dɪˈgriːz/,it iz nainti digris.,Hace noventa grados.,01 hundred / apples
I have one hundred yen.,/aɪ hæv wʌn ˈhʌndrəd jɛn/,ai jav uan jandren yen.,Tengo cien yenes.,01 hundred / apples
There are two hundred pages.,/ðeər ɑːr tuː ˈhʌndrəd peɪdʒɪz/,der ar tu jandren peidjis.,Hay doscientas páginas.,01 hundred / apples
I have three hundred books.,/aɪ hæv θriː ˈhʌndrəd bʊks/,ai jav jri jandred buks.,Tengo trescientos libros.,01 hundred / apples
She has four hundred stickers.,/ʃiː hæz fɔːr ˈhʌndrəd ˈstɪkərz/,shi jas for jandred stikers.,Ella tiene cuatrocientas pegatinas.,01 hundred / apples
It costs five hundred yen.,/ɪt kɒsts faɪv ˈhʌndrəd jɛn/,it kosts faiv jandred yen.,Cuesta quinientos yenes.,01 hundred / apples
We see six hundred birds.,/wiː siː sɪks ˈhʌndrəd bɜːrds/,wi si siks jandred berds.,Vemos seiscientos pájaros.,01 hundred / apples
He runs seven hundred meters.,/hiː rʌnz ˈsɛvən ˈhʌndrəd ˈmiːtərz/,ji rans seven jandred miters.,Él corre setecientos metros.,01 hundred / apples
You need eight hundred grams.,/juː niːd eɪt ˈhʌndrəd ɡræmz/,yu nid eit jandred grams.,Necesitas ochocientos gramos.,01 hundred / apples
They eat nine hundred apples.,/ðeɪ iːt naɪn ˈhʌndrəd ˈæpəlz/,dei it nain jandred apels.,Ellos comen novecientas manzanas.,01 hundred / apples
One thousand people are here.,/wʌn ˈθaʊzənd ˈpiːpəl ɑːr hɪər/,uan jausand pipol ar jir.,Mil personas están aquí.,01 hundred / apples
It is two thousand miles.,/ɪt ɪz tuː ˈθaʊzənd maɪlz/,it is tu jausand mailz.,Son dos mil millas.,01 hundred / apples
I save three thousand dollars.,/aɪ seɪv θriː ˈθaʊzənd ˈdɑːlərz/,ai seiv jri jausand dalers.,Ahorro tres mil dólares.,01 hundred / apples
He has ten thousand cards.,/hiː hæz tɛn ˈθaʊzənd kɑːrdz/,ji jas ten jausand kards.,Él tiene diez mil tarjetas.,01 hundred / apples
One hundred thousand cars drive.,/wʌn ˈhʌndrəd ˈθaʊzənd kɑːrz draɪv/,uan jandred jausand cars draiv.,Cien mil coches conducen.,01 hundred / apples
One million stars shine bright.,/wʌn ˈmɪljən stɑːrz ʃaɪn braɪt/,uan milion stars shain brait.,Un millón de estrellas brillan.,01 hundred / apples
One billion people live here.,/wʌn ˈbɪljən ˈpiːpəl lɪv hɪər/,uan bilion pipol liv jir.,Mil millones de personas viven aquí.,01 hundred / apples
I am the first student.,/aɪ æm ðə fɜːrst ˈstuːdənt/,ai am de ferest studenti.,Soy el primer estudiante.,01 hundred / apples
You are the second person.,/juː ɑːr ðə ˈsɛkənd ˈpɜːrsən/,yu ar de second person.,Eres la segunda persona.,01 hundred / apples
He is the third boy.,/hiː ɪz ðə θɜːrd bɔɪ/,ji is de serd boi.,Él es el tercer niño.,01 hundred / apples
It is the fourth room.,/ɪt ɪz ðə fɔːrθ ruːm/,it is de forz rum.,Es la cuarta habitación.,01 hundred / apples
She is the fifth girl.,/ʃiː ɪz ðə fɪfθ ɡɜːrl/,shi is de fifz gerl.,Ella es la quinta chica.,01 hundred / apples
We take the sixth bus.,/wiː teɪk ðə sɪksθ bʌs/,wi teik de siksbas.,Tomamos el sexto autobús.,01 hundred / apples
This is the seventh day.,/ðɪs ɪz ðə ˈsɛvənθ deɪ/,dis is de seventz dei.,Este es el séptimo día.,01 hundred / apples
He wins the eighth game.,/hiː wɪnz ðə eɪtθ ɡeɪm/,ji wins de eitz geim.,Él gana el octavo juego.,01 hundred / apples
It is on the ninth floor.,/ɪt ɪz ɒn ðə naɪnθ flɔːr/,it is on de nainz flor.,Está en el noveno piso.,01 hundred / apples
Today is the tenth month.,/təˈdeɪ ɪz ðə tɛnθ mʌnθ/,tudei is de tenss monz.,Hoy es el décimo mes.,01 hundred / apples
A fraction of the pie.,/ə ˈfrækʃən ʌv ðə paɪ/,a fraction of de pai.,Una fracción del pastel.,01 hundred / apples
I eat one half of the apple.,/aɪ iːt wʌn hɑːf ɒv ðə ˈæpəl/,ai it juan jaf ov de apol,Como la mitad de la manzana.,01 hundred / apples
She wants one third of the cake.,/ʃiː wɒnts wʌn θɜːd ɒv ðə keɪk/,shi uants juan zerd ov de keik,Ella quiere un tercio del pastel.,01 hundred / apples
It is one quarter past four.,/ɪt ɪz wʌn ˈkwɔːtə pɑːst fɔː/,it is juen kuorter past for,Son las cuatro y cuarto.,01 hundred / apples
He gives me one eighth of the pizza.,/hiː ɡɪvz miː wʌn eɪtθ ɒv ðə ˈpiːtsə/,ji givs mi juon eit ov de pitsa,Él me da una octava parte de la pizza.,01 hundred / apples
I study for one tenth of the day.,/aɪ ˈstʌdi fɔː wʌn tɛnθ ɒv ðə deɪ/,ai studi for juon tent ov de dei,Estudio una décima parte del día.,01 hundred / apples
We drink two thirds of the water.,/wiː drɪŋk tuː θɜːdz ɒv ðə ˈwɔːtə/,ui drink tu zerds ov de uoter,Bebemos dos tercios del agua.,01 hundred / apples
It is three quarters to five.,/ɪt ɪz θriː ˈkwɔːtəz tuː faɪv/,it is zri kuoters tu faiv,Son las cinco menos cuarto.,01 hundred / apples
We learn subtraction in school.,/wiː lɜːn səbˈtrækʃən ɪn skuːl/,ui lern sabtrakshon in skul,Aprendemos la resta en la escuela.,01 hundred / apples
You subtract two from five.,/juː səbˈtrækt tuː frɒm faɪv/,yu sabtrakt tu from faiv,Restas dos de cinco.,01 hundred / apples
I like division and addition.,/aɪ laɪk dɪˈvɪʒən ænd əˈdɪʃən/,ai laik divishon and adishon,Me gusta la división y la suma.,01 hundred / apples
She divides the cake into pieces.,/ʃiː dɪˈvaɪdz ðə keɪk ˈɪntuː ˈpiːsɪz/,shi divides de keik intu pisiz,Ella divide el pastel en trozos.,01 hundred / apples
Addition is easy for me.,/əˈdɪʃən ɪz ˈiːzi fɔː miː/,adishon is isi for mi,La suma es fácil para mí.,01 hundred / apples
He adds up the numbers.,/hiː ædz ʌp ðə ˈnʌmbəz/,ji ads ap de namber,Él suma los números.,01 hundred / apples
Please add one and two.,/pliːz æd wʌn ænd tuː/,pliz ad juan and tu,"Por favor, suma uno y dos.",01 hundred / apples
Multiplication is very hard.,/ˌmʌltɪplɪˈkeɪʃən ɪz ˈvɛri hɑːd/,multiplicayshon is very jard,La multiplicación es muy difícil.,01 hundred / apples
You multiply three by three.,/juː ˈmʌltɪplaɪ θriː baɪ θriː/,yu multiply zri bai zri,Multiplicas tres por tres.,01 hundred / apples
Five is a single digit.,/faɪv ɪz ə ˈsɪŋɡəl ˈdɪdʒɪt/,faiv is a singol didjit,Cinco es un solo dígito.,01 hundred / apples
I see the number ten.,/aɪ siː ðə ˈnʌmbə tɛn/,ai si de namber ten,Veo el número diez.,01 hundred / apples
This is a Roman numeral.,/ðɪs ɪz ə ˈrəʊmən ˈnjuːmərəl/,dis is a rouman numerol,Este es un número romano.,01 hundred / apples
Write a minus sign here.,/raɪt ə ˈmaɪnəs saɪn hɪə/,rait a mainos sain jia,Escribe un signo menos aquí.,01 hundred / apples
The plus sign is small.,/ðə plʌs saɪn ɪz smɔːl/,de plus sain is smol,El signo más es pequeño.,01 hundred / apples
We use a formula for math.,/wiː juːz ə ˈfɔːmjʊlə fɔː mæθ/,ui yus a formiula for mas,Usamos una fórmula para matemáticas.,01 hundred / apples
The calculation is correct.,/ðə ˌkælkjʊˈleɪʃən ɪz kəˈrɛkt/,de calkiuleishon is corect,El cálculo es correcto.,01 hundred / apples
I count the books.,/aɪ kaʊnt ðə bʊks/,ai kaunt de buks,Cuento los libros.,01 hundred / apples
You count up to ten.,/juː kaʊnt ʌp tuː tɛn/,yu kaunt ap tu ten,Cuentas hasta diez.,01 hundred / apples
I compare the books.,/aɪ kəmˈpeə ðə bʊks/,ai compare de buks,Comparo los libros.,01 hundred / apples
How much is it?,/haʊ mʌtʃ ɪz ɪt/,jau mutch is it,¿Cuánto cuesta?,01 hundred / apples
How many do you have?,/haʊ ˈmɛni duː juː hæv/,jau meni du yu jav,¿Cuántos tienes?,01 hundred / apples
The sum is ten.,/ðə sʌm ɪz tɛn/,de sum is ten,La suma es diez.,01 hundred / apples
The result is good.,/ðə rɪˈzʌlt ɪz gʊd/,de result is gud,El resultado es bueno.,01 hundred / apples
I eat the remainder.,/aɪ iːt ðə rɪˈmeɪndə/,ai iit de remainder,Me como el resto.,01 hundred / apples
I have a few pens.,/aɪ hæv ə fjuː pɛnz/,ai jav a fiu pens,Tengo unos bolígrafos.,01 hundred / apples
I eat little bread.,/aɪ iːt ˈlɪtəl brɛd/,ai iit litol bred,Como poco pan.,01 hundred / apples
The rest is here.,/ðə rɛst ɪz hɪə/,de rest is jier,El resto está aquí.,01 hundred / apples
The rest is not here.,/ðə rɛst ɪz nɒt hɪə/,de rest is not jia.,El resto no está aquí.,01 hundred / apples
Is the rest here?,/ɪz ðə rɛst hɪə/,is de rest jia?,¿Está el resto aquí?,01 hundred / apples
Where is the rest?,/weə ɪz ðə rest/,uer is der rest?,¿Dónde está el resto?,01 hundred / apples
The rest was here.,/ðə rɛst wɒz hɪə/,de rest woz jia.,El resto estaba aquí.,01 hundred / apples
It is one and a half.,/ɪt ɪz wʌn ænd ə hɑːf/,it is wan and a jaf,Es uno y medio.,01 hundred / apples
I want a dozen eggs.,/aɪ wɒnt ə ˈdʌzn ɛgz/,ai uant a dazn eggs,Quiero una docena de huevos.,01 hundred / apples
Cut it in half.,/kʌt ɪt ɪn hɑːf/,kat it in jaf,Córtalo por la mitad.,01 hundred / apples
We share it equally.,/wiː ʃeə ɪt ˈiːkwəli/,ui shear it ikwali,Lo compartimos por igual.,01 hundred / apples
I eat half the apple.,/aɪ iːt hɑːf ðə ˈæpl/,ai iit jaf de apol,Como la mitad de la manzana.,01 hundred / apples
I go there three times.,/aɪ gəʊ ðeə θriː taɪmz/,ai gou der taim taims,Voy ahí tres veces.,01 hundred / apples
I advise you.,/aɪ ədˈvaɪz juː/,ai advais yu,Te aconsejo.,01 hundred / apples
I agree with you.,/aɪ əˈgriː wɪð juː/,ai agri wid yu,Estoy de acuerdo contigo.,01 hundred / apples
Please answer the question.,/pliːz ˈɑːnsə ðə ˈkwɛstʃən/,pliz answer de kweschon,"Responde la pregunta, por favor.",01 hundred / apples
I apologize to you.,/aɪ əˈpɒlədʒaɪz tuː juː/,ai apolodchai tu yu,Te pido disculpas.,01 hundred / apples
We arrive at noon.,/wiː əˈraɪv æt nuːn/,ui arrive at nun,Llegamos al mediodía.,01 hundred / apples
I ask myself a question.,/aɪ ɑːsk maɪˈsɛlf ə ˈkwɛstʃən/,ai ask maiself a kweschon,Me hago una pregunta.,01 hundred / apples
I ask him to help.,/aɪ ɑːsk hɪm tuː hɛlp/,ai ask jim tu jelp,Le pido que ayude.,01 hundred / apples
I am happy.,/aɪ æm ˈhæpi/,ai am japi,Estoy feliz.,01 hundred / apples
I am afraid of dogs.,/aɪ æm əˈfreɪd ɒv dɒgz/,ai am afraid of dogs,Tengo miedo de los perros.,01 hundred / apples
I am very hungry.,/aɪ æm ˈvɛri ˈhʌŋgri/,ai am beri jangri,Tengo mucha hambre.,01 hundred / apples
I am not very hungry.,/aɪ æm nɒt ˈvɛri ˈhʌŋgri/,ai am not beri jangri.,No tengo mucha hambre.,01 hundred / apples
Are you very hungry?,/ɑː juː ˈvɛri ˈhʌŋgri/,ar yu beri jangri?,¿Tienes mucha hambre?,01 hundred / apples
How hungry are you?,/haʊ ˈhʌŋgri ɑː juː/,jau jangri ar yu?,¿Qué tanta hambre tienes?,01 hundred / apples
I was very hungry.,/aɪ wɒz ˈvɛri ˈhʌŋgri/,ai woz beri jangri.,Tenía mucha hambre.,01 hundred / apples
I am interested in art.,/aɪ ɛm ˈɪntrəstɪd ɪn ɑːrt/,ai em interested in art.,Estoy interesado en el arte.,01 hundred / apples
Help is needed here.,/hɛlp ɪz ˈniːdɪd hɪr/,jelp is nidid jir.,Se necesita ayuda aquí.,01 hundred / apples
She is surprised by the gift.,/ʃi ɪz sərˈpraɪzd baɪ ðə ɡɪft/,shi is serpraisd bai de gift.,Ella está sorprendida por el regalo.,01 hundred / apples
I am very thirsty today.,/aɪ ɛm ˈvɛri ˈθɜːrsti ˈtədeɪ/,ai em veri zirsti tudei.,Tengo mucha sed hoy.,01 hundred / apples
I am not very thirsty today.,/aɪ æm nɒt ˈvɛri ˈθɜːrsti təˈdeɪ/,ai am not veri zirsti tudei.,No tengo mucha sed hoy.,01 hundred / apples
Are you very thirsty today?,/ɑː juː ˈvɛri ˈθɜːrsti təˈdeɪ/,ar yu veri zirsti tudei?,¿Tienes mucha sed hoy?,01 hundred / apples
Why are you very thirsty today?,/waɪ ə juː ˈveri ˈθɜːsti təˈdeɪ/,uai ar yu veri zirsti tudei?,¿Por qué tienes mucha sed hoy?,01 hundred / apples
I was very thirsty today.,/aɪ wɒz ˈvɛri ˈθɜːrsti təˈdeɪ/,ai woz veri zirsti tudei.,Hoy tuve mucha sed.,01 hundred / apples
We begin the class now.,/wi bɪˈɡɪn ðə klæs naʊ/,ui bigin de klas nau.,Empezamos la clase ahora.,01 hundred / apples
This book belongs to my friend.,/ðɪs bʊk bɪˈlɒŋ tuː maɪ frɛnd/,dis buk bilongs tu mai frend.,Este libro pertenece a mi amigo.,01 hundred / apples
He likes to boast about his car.,/hi laɪks tu ˈboʊst əˈbaʊt hɪz kɑːr/,ji laiks tu bost abaut jiz kar.,A él le gusta presumir de su coche.,01 hundred / apples
Please break the chocolate.,/pliːz breɪk ðə ˈtʃɒkələt/,plis breik de chokolat.,"Por favor, rompe el chocolate.",01 hundred / apples
Please call for help now.,/pliːz kɔːl fɔːr hɛlp naʊ/,plis kol for jelp nau.,"Por favor, llama para pedir ayuda ahora.",01 hundred / apples
I can swim very well.,/aɪ kæn swɪm ˈvɛri wɛl/,ai kan suim veri uel.,Sé nadar muy bien.,01 hundred / apples
Please catch the ball.,/pliːz kætʃ ðə bɔːl/,plis kach de bol.,"Por favor, atrapa la pelota.",01 hundred / apples
I need to change my shirt.,/aɪ niːd tu ʧeɪndʒ maɪ ʃɜːrt/,ai nid tu cheinch mai shert.,Necesito cambiarme de camisa.,01 hundred / apples
She will choose a red dress.,/ʃi wɪl ʧuːz ə rɛd drɛs/,shi uil chuz a red dres.,Ella elegirá un vestido rojo.,01 hundred / apples
Please come down from the tree.,/pliːz kʌm daʊn frəm ðə triː/,plis kam daun from de tri.,"Por favor, baja del árbol.",01 hundred / apples
Please come in and sit down.,/pliːz kʌm ɪn ænd sɪt daʊn/,plis kam in and sit daun.,"Por favor, entra y siéntate.",01 hundred / apples
Let us compare the two prices.,/lɛt ʌs kəmˈpeər ðə tuː ˈpraɪsɪz/,let us kompeer de tu praisiz.,Comparemos los dos precios.,01 hundred / apples
He complains about the food.,/hi kəmˈpleɪnz əˈbaʊt ðə fuːd/,ji kompleins abaut de fud.,Él se queja de la comida.,01 hundred / apples
This problem confuses me.,/ðɪs ˈprɒbləm kənˈfjuːz miː/,dis problam konfiuz mi.,Este problema me confunde.,01 hundred / apples
