Phrase,IPA,ES Pronunciation,ES Translation
He is very rich.,/hiː ɪz ˈvɛːri rɪtʃ/,ji is veri rich.,Él es muy rico.
I like April.,/aɪ laɪk ˈeɪprəl/,ai laik eipril.,Me gusta abril.
She is very healthy.,/ʃiː ɪz ˈvɛːri ˈhɛlθi/,shi is veri jelzi.,Ella está muy sana.
I have good memories.,/aɪ hæv ɡʊd ˈmɛməriz/,ai jav gud memoris.,Tengo buenos recuerdos.
He runs very quickly.,/hiː rʌnz ˈvɛːri ˈkwɪkli/,ji rans veri kuikli.,Él corre muy rápido.
He looks very sad.,/hiː lʊks ˈvɛri sæd/,ji loks very sad.,Él se ve muy triste.
He is a good boy.,/hiː ɪz ə gʊd bɔɪ/,ji is a gued boi.,Él es un buen chico.
He has a ball.,/hiː hæz ə bɔːl/,ji jas a bol.,Él tiene una pelota.
It is good.,/ɪt ɪz ɡʊd/,it is gud.,Está bien.
This car is very old.,/ðɪs kɑːr ɪz ˈvɛri oʊld/,dis car is veri old,Este coche es muy viejo.
She has a new bag.,/ʃiː hæz ə nuː bæɡ/,shi jas a nu bag,Ella tiene un bolso nuevo.
I like the bottle.,/aɪ laɪk ðə ˈbɒtl/,ai laik de botl.,Me gusta el frasco.
I like rubber.,/aɪ laɪk ˈrʌbə/,ai laik ráber.,Me gusta el caucho.
This vessel is big.,/ðɪs ˈvɛsl ɪz bɪɡ/,dis vesl is big.,Este recipiente es grande.
The diameter is big.,/ðə daɪˈæmɪtər ɪz bɪg/,de diameter is big.,El diámetro es grande.
The length is big.,/ðə lɛŋθ ɪz bɪɡ/,de lengz iz big.,La longitud es grande.
The quantity is big.,/ðə ˈkwɒntɪti ɪz bɪɡ/,de cuantiti is big.,La cantidad es grande.
He has a big head.,/hiː hæz ə bɪɡ hɛd/,ji jaz a big jed.,Él tiene una cabeza grande.
He has big biceps.,/hiː hæz bɪɡ ˈbaɪsɛps/,ji jaz big baiseps.,Él tiene bíceps grandes.
He has a big mustache.,/hiː hæz ə bɪɡ məstæʃ/,ji jas a big mustash.,Él tiene un bigote grande.
She has a braid.,/ʃiː hæz ə breɪd/,shi jas a breid.,Ella tiene una trenza.
She has long eyelashes.,/ʃiː hæz lɒŋ ˈaɪlæʃɪz/,shi jaz long aileshis.,Ella tiene pestañas largas.
He has long sideburns.,/hiː hæz lɒŋ saɪdbɜːrnz/,ji jas long saidburns.,Él tiene patillas largas.
She has long bangs.,/ʃiː hæz lɒŋ bæŋz/,shi jas long bans.,Ella tiene flequillo largo.
She has a red cheek.,/ʃiː hæz ə rɛd tʃiːk/,shi jas a red chik.,Ella tiene una mejilla roja.
I have a birthmark here.,/aɪ hæv ə ˈbɜːrθmɑːrk hɪər/,ai jav a berzmark jir,Tengo una marca de nacimiento aquí.
I like his hairstyle.,/aɪ laɪk hɪz hɛrstaɪl/,ai laik jis jerstail.,Me gusta su peinado.
She has a necklace.,/ʃiː hæz ə ˈnɛklɪs/,shi jas a neklis.,Ella tiene un collar.
She has a purse.,/ʃiː hæz ə pɜːs/,shi jas a purs.,Ella tiene un monedero.
I like this game.,/aɪ laɪk ðɪs ɡeɪm/,ai laik dis geim.,Me gusta este juego.
I like fashion.,/aɪ laɪk ˈfæʃən/,ai laik fashon.,Me gusta la moda.
I like a pedicure.,/aɪ laɪk ə ˈpɛdɪkjʊə/,ai laik a pedicur.,Me gusta la pedicura.
I like this perfume.,/aɪ laɪk ðɪs pəˈfjuːm/,ai laik dis perfium.,Me gusta este perfume.
She has a blue scarf.,/ʃiː hæz ə bluː skɑːf/,shi jas a blu scarf.,Ella tiene una bufanda azul.
The shoestring is very long.,/ðə ˈʃuːstrɪŋ ɪz ˈvɛri lɒŋ/,de shustring is veri long.,El cordón del zapato es muy largo.
I like day time.,/aɪ laɪk deɪ taɪm/,ai laik dei taim.,Me gusta el día.
The ruby is very red.,/ðə ˈruːbi ɪz ˈvɛri rɛd/,de ruby is beri red.,El rubí es muy rojo.
This oyster is very big.,/ðɪs ɔɪstər ɪz ˈvɛri bɪɡ/,dis oister is veri big.,Esta ostra es muy grande.
She has a pomegranate.,/ʃiː hæz ə ˈpɒmˌɡrænɪt/,shi jaz a pomgranit.,Ella tiene una granada.
I like coffee.,/aɪ laɪk ˈkɒfi/,ai laik coffee.,Me gusta el café.
We have a big melon.,/wiː hæv ə bɪɡ ˈmɛlən/,ui jav a big melon.,Tenemos un melón grande.
I like eggs.,/aɪ laɪk ɛɡz/,ai laik eggs.,Me gustan los huevos.
I like the redcurrant.,/aɪ laɪk ðə ˈrɛdˌkʌrənt/,ai laik de redkurent.,Me gusta el grosella roja.
I like beer.,/aɪ laɪk bɪə/,ai laik bia.,Me gusta la cerveza.
I like greens.,/aɪ laɪk ɡriːnz/,ai laik grins.,Me gustan las verduras de hoja.
I like potatoes.,/aɪ laɪk pəˈteɪtəʊz/,ai laik poteitos.,Me gustan las patatas.
I like the pie.,/aɪ laɪk ðə paɪ/,ai laik de pai.,Me gusta el pastel.
He has a big appetite.,/hiː hæz ə bɪg ˈæpɪtaɪt/,ji jas a big apetait,Él tiene mucho apetito.
He has strength.,/hiː hæz strɛŋθ/,ji jas strenz.,Él tiene fuerza.
He is very tall.,/hiː ɪz ˈvɛri tɔːl/,ji is beri tol.,Él es muy alto.
She is very beautiful.,/ʃiː ɪz ˈvɛri ˈbjuːtɪfʊl/,shi is beri biutiful.,Ella es muy hermosa.
I like this appetizer.,/aɪ laɪk ðɪs ˈæpɪtaɪzə/,ai laik dis appetaiser.,Me gusta este aperitivo.
The woman is here.,/ðə ˈwʊmən ɪz hɪə/,de uuman is jier.,La mujer está aquí.
My mother is here.,/maɪ ˈmʌðər ɪz hɪər/,mai mader is jier.,Mi madre está aquí.
The chief is here.,/ðə tʃiːf ɪz hɪə/,de chif is jier.,El jefe está aquí.
The waiter is here.,/ðə ˈweɪtər ɪz hɪər/,de uei-ter is jier.,El camarero está aquí.
It has five cloves.,/ɪt hæz faɪv kləʊvz/,it jas faiv klovs.,Tiene cinco clavos.
He has a good character.,/hiː hæz ə ɡʊd ˈkærəktər/,ji jas a gud karacter.,Él tiene un buen carácter.
She has hope.,/ʃiː hæz həʊp/,shi jas joup.,Ella tiene esperanza.
He has humor.,/hiː hæz ˈhjuːmə/,ji jaz jiumer.,Él tiene humor.
He has depression.,/hiː hæz dɪˈprɛʃən/,ji jas depreshon.,Él tiene depresión.
I am very happy.,/aɪ æm ˈvɛri ˈhæpi/,ai am veri japi.,Estoy muy feliz.
He has bad luck.,/hiː hæz bæd lʌk/,ji jas bad lak.,Él tiene mala suerte.
I like to sleep.,/aɪ laɪk tuː sliːp/,ai laik tu slip.,Me gusta dormir.
My family is big.,/maɪ ˈfæməli ɪz bɪg/,mai famiri is big.,Mi familia es grande.
The bed is big.,/ðə bɛd ɪz bɪg/,de bed is big.,La cama es grande.
They like to kiss.,/ðeɪ laɪk tuː kɪs/,de laik tu kis.,A ellos les gusta besarse.
She has an idea.,/ʃiː hæz æn aɪˈdɪə/,shi jaz an aidea.,Ella tiene una idea.
Her praise is very good.,/hɜː preɪz ɪz ˈvɛri ɡʊd/,jer preiz is jeri gud.,Su elogio es muy bueno.
I see! It is your dog.,/aɪ siː! ɪt ɪz jʊə dɒɡ/,ai si! it is yur dog.,¡Entiendo! Es tu perro.
I like his praise.,/aɪ laɪk hɪz preɪz/,ai laik jis praise.,Me gusta su elogio.
I like the silence.,/aɪ laɪk ðə ˈsaɪləns/,ai laik de sailens.,Me gusta el silencio.
It is a big demand.,/ɪt ɪz ə bɪɡ dɪˈmɑːnd/,it is a big demand.,Es una gran demanda.
I am very lucky.,/aɪ æm ˈveri ˈlʌki/,ai am beri lucky.,Tengo mucha suerte.
It is a big lie.,/ɪt ɪz ə bɪg laɪ/,it is a big lai.,Es una gran mentira.
He has a fixed look.,/hiː hæz ə fɪkst lʊk/,ji jas a fikst luk.,Él tiene una mirada fija.
I look at the big cat.,/aɪ lʊk æt ðə bɪɡ kæt/,ai luk at de big cat.,Miro al gato grande.
She has cancer.,/ʃiː hæz ˈkænsə/,shi jas kancer.,Ella tiene cáncer.
She has pride.,/ʃiː hæz praɪd/,shi jas pride.,Ella tiene orgullo.
He has a sickness.,/hiː hæz ə sɪknəs/,ji jas a siknes.,Él tiene una enfermedad.
He has angina.,/hiː hæz ænˈdʒaɪnə/,ji jasz yáina.,Él tiene angina.
She has bronchitis.,/ʃiː hæz brɒŋˈkaɪtɪs/,shi jas brónkaitis.,Ella tiene bronquitis.
He has pneumonia.,/hiː hæz njuːˈməʊniə/,ji jas neumóunia.,Él tiene neumonía.
She has a cataract.,/ʃiː hæz ə kætərækt/,shi jas a cataract.,Ella tiene una catarata.
He has glaucoma.,/hiː hæz ɡlɔːˈkəʊmə/,ji jas glaucóuma.,Él tiene glaucoma.
He has paralysis.,/hiː hæz pəˈræləsɪs/,ji jas parálisis.,Él tiene parálisis.
She has asthma.,/ʃiː hæz æzmə/,shi jas asma.,Ella tiene asma.
He has a burn.,/hi hæz ə bɜːn/,ji jav a burn.,Él tiene una quemadura.
She has a fracture.,/ʃi hæz ə ˈfræktʃə/,shi jav a fracture.,Ella tiene una fractura.
She has a trauma.,/ʃiː hæz ə ˈtraʊmə/,shi jaz a trauma.,Ella tiene un trauma.
She has sunstroke.,/ʃiː hæz ˈsʌnstroʊk/,shi jaz sanstrok.,Ella tiene una insolación.
She has convulsions.,/ʃiː hæz kənˈvʌlʃənz/,shi jaz konvulsions.,Ella tiene convulsiones.
I see a big skyscraper.,/aɪ siː ə bɪg ˈskaɪskreɪpər/,ai si a big skaiskreiper.,Veo un rascacielos grande.
He has a bad injury.,/hiː hæz ə bæd ˈɪndʒəri/,ji jaz a bed inyuri.,Él tiene una lesión grave.
The doctor is here.,/ðə ˈdɒktə ɪz hɪə/,de doctor is jia.,El doctor está aquí.
The patient is here.,/ðə ˈpeɪʃənt ɪz hɪər/,de peishient is jier.,El paciente está aquí.
He has no immunity.,/hiː hæz noʊ ɪˈmjuːnəti/,ji jas no inyuniti.,Él no tiene inmunidad.
The hotel is very big.,/ðə hoʊtɛl ɪz vɛri bɪg/,de jotel is veri big.,El hotel es muy grande.
I see a big sale.,/aɪ siː ə bɪg seɪl/,ai si a big seil.,Veo una gran rebaja.
They have good discounts here.,/ðeɪ hæv gʊd ˈdɪskaʊnts hɪə/,dei jav gud discounts jir.,Aquí tienen buenos descuentos.
They park here.,/ðeɪ pɑːk hɪə/,dei park jir.,Ellos aparcan aquí.
I like the opera.,/aɪ laɪk ðə ˈɒpərə/,ai laik de opera.,Me gusta la ópera.
I like the architecture.,/aɪ laɪk ðə ˈɑːkɪtektʃə/,ai laik de arkitektur.,Me gusta la arquitectura.
The cathedral is big.,/ðə kəˈθiːdrəl ɪz bɪɡ/,de catedral is big.,La catedral es grande.
The taxi is here.,/ðə ˈtæksi ɪz hɪə/,de taksi is jir.,El taxi está aquí.
The circus is here.,/ðə ˈsɜːkəs ɪz hɪə/,de serkus is jir.,El circo está aquí.
It is forbidden here.,/ɪt ɪz fəˈbɪdən hɪə/,it is forbirden jier,Está prohibido aquí.
He has a big debt.,/hiː hæz ə bɪɡ dɛt/,ji jas a big det.,Él tiene una deuda grande.
He has a fortune.,/hiː hæz ə ˈfɔːrtʃən/,ji jas a forchun.,Él tiene una fortuna.
I like this red car.,/aɪ laɪk ðɪs rɛd kɑːr/,ai laik dis red kar.,Me gusta este coche rojo.
The check is here.,/ðə tʃɛk ɪz hɪə/,de check is jier.,El cheque está aquí.
The house is very old.,/ðə haʊs ɪz ˈvɛri oʊld/,de jaus is bery old.,La casa es muy vieja.
It is very economical.,/ɪt ɪz ˈvɛri ˌiːkəˈnɒmɪkəl/,it is beri ikonomical,Es muy económico.
It is a big sum.,/ɪt ɪz ə bɪg sʌm/,it is a big sam.,Es una suma grande.
The entrance is big.,/ðə ˈɛntrəns ɪz bɪg/,de entrance is big.,La entrada es grande.
The house has electricity.,/ðə ˈhaʊs hæz ɪˌlɛkˈtrɪsəti/,de jaus jaz ilektriziti.,La casa tiene electricidad.
The mail is here.,/ðə meɪl ɪz hɪər/,de meil is jiir.,El correo está aquí.
The palace is very big.,/ðə ˈpælɪs ɪz ˈvɛri bɪɡ/,de palaces is beri big.,El palacio es muy grande.
The terrace is very big.,/ðə ˈtɛrəs ɪz ˈvɛri bɪɡ/,de teres is beri big.,La terraza es muy grande.
The moat has water.,/ðə moʊt hæz ˈwɔːtər/,de mout jas uater.,El foso tiene agua.
I like the swing.,/aɪ laɪk ðə swɪŋ/,ai laik de swing.,Me gusta el columpio.
The bookcase is big.,/ðə ˈbʊkkeɪs ɪz bɪg/,de bukceis is big.,La estantería es grande.
The bathroom is here.,/ðə ˈbæθruːm ɪz hɪər/,de badrum is jier.,El baño está aquí.
She has a vegetable garden.,/ʃi hæz ə ˈvɛdʒtəbəl ɡɑːrdən/,shi jas a vedchetabel garden.,Ella tiene un huerto.
The tower is very high.,/ðə ˈtaʊər ɪz ˈvɛri haɪ/,de taue is beri jai.,La torre es muy alta.
The chain is very strong.,/ðə tʃeɪn ɪz ˈvɛri strɒŋ/,de chein is beri estrong.,La cadena es muy fuerte.
The doorbell is very loud.,/ðə ˈdɔːbɛl ɪz ˈvɛri laʊd/,de doorbel is beri laud.,El timbre es muy ruidoso.
I like hot water.,/aɪ laɪk hɒt ˈwɔːtər/,ai laik jot uater.,Me gusta el agua caliente.
I like the video.,/aɪ laɪk ðə ˈvɪdiəʊ/,ai laik de vidio.,Me gusta el vídeo.
The office is big.,/ðə ˈɒfɪs ɪz bɪɡ/,de ofis is big.,El despacho es grande.
We like the furniture.,/wiː laɪk ðə ˈfɜːnɪtʃə/,ui laik de furniture.,Nos gusta el mobiliario.
I like the varnish.,/aɪ laɪk ðə ˈvɑːrnɪʃ/,ai laik de varnish.,Me gusta el barniz.
This pipe is big.,/ðɪs paɪp ɪz bɪɡ/,dis paip is big,Esta tubería es grande.
The rescuer is here.,/ðə ˈrɛskjuːər ɪz hɪə/,de reskyuer is jir.,El rescatador está aquí.
She has a sewing machine.,/ʃiː hæz ə ˈsoʊɪŋ məˈʃiːn/,shi jas a so-ing mashin.,Ella tiene una máquina de coser.
The waiter has a tray.,/ðə ˈweɪtə(r) hæz ə treɪ/,de ueiter has a trei.,El camarero tiene una bandeja.
She has a vacuum cleaner.,/ʃiː hæz ə ˈvækjuːm ˈkliːnə/,shi jas a baciym cleaner.,Ella tiene una aspiradora.
She has good discipline.,/ʃiː hæz gʊd ˈdɪsəplɪn/,shi jas gud disiplin.,Ella tiene buena disciplina.
I see a big truck.,/aɪ siː ə bɪg trʌk/,ai si a big truck.,Veo un camión grande.
The works are here.,/ðə wɜːrks ɑːr hɪr/,de uorks ar jir.,Las obras están aquí.
The quality is very good.,/ðə ˈkwɒlɪti ɪz ˈvɛri gʊd/,de kuoliti is beri gud.,La calidad es muy buena.
The company is big.,/ðə ˈkʌmpəni ɪz bɪg/,de kompáni iz big.,La compañía es grande.
The plant is big.,/ðə plænt ɪz bɪɡ/,de plant is big.,La planta es grande.
I like technology.,/aɪ laɪk tɛkˈnɒlədʒi/,ai laik tecnoloyi.,Me gusta la tecnología.
It is a big company.,/ɪt ɪz ə bɪg ˈkʌmpəni/,it is a big compani.,Es una gran empresa.
He is very organized.,/hiː ɪz ˈvɛri ˈɔːrɡənaɪzd/,ji is beri organaizd.,Él es muy organizado.
It is a big risk.,/ɪt ɪz ə bɪɡ rɪsk/,it is a big risk.,Es un gran riesgo.
This investment is very good.,/ðɪs ɪnˈvɛstmənt ɪz ˈvɛri ɡʊd/,dis investmant is veri gud,Esta inversión es muy buena.
The lot is big.,/ðə lɒt ɪz bɪɡ/,de lot is big.,El lote es grande.
I like the newsletter.,/aɪ laɪk ðə ˈnjuːzˌlɛtə/,ai laik de niuzleter.,Me gusta el boletín.
The poster is big.,/ðə ˈpəʊstə ɪz bɪɡ/,de poster is big.,El póster es grande.
The import is big.,/ðə ˈɪmpɔːt ɪz bɪɡ/,de import is big.,La importación es grande.
The deposit is here.,/ðə dɪˈpɒzɪt ɪz hɪə/,de deposit is jier.,El depósito está aquí.
The import is here.,/ðə ˈɪmpɔːt ɪz hɪə/,de import is jier.,La importación está aquí.
The parties are here.,/ðə ˈpɑːtiz ɑː hɪə/,de partis ar jier.,Las partes están aquí.
The periodical is here.,/ðə ˌpɪəriˈɒdɪkəl ɪz hɪə/,de periodical is jia.,La revista está aquí.
The clerk is here.,/ðə klɑːk ɪz hɪə/,de clerk is jier.,El empleado está aquí.
She has a will.,/ʃiː hæz ə wɪl/,shi jas a uil.,Ella tiene un testamento.
The museum is very big.,/ðə mjuːˈziːəm ɪz ˈvɛri bɪɡ/,de miusium is veri big.,El museo es muy grande.
He has a pass.,/hiː hæz ə pɑːs/,ji jas a pas.,Él tiene un pase.
The show is very good.,/ðə ʃəʊ ɪz vɛri ɡʊd/,de shou is veri gud.,La exhibición es muy buena.
I like the advertising.,/aɪ laɪk ðiː ˈædvərtaɪzɪŋ/,ai laik de adverteising.,Me gusta la publicidad.
I like sports.,/aɪ laɪk spɔːrts/,ai laik sports.,Me gustan los deportes.
I like the design.,/aɪ laɪk ðə dɪˈzaɪn/,ai laik de dizain.,Me gusta el diseño.
I like this tune.,/aɪ laɪk ðɪs tjuːn/,ai laik dis tiun.,Me gusta esta melodía.
I like to travel.,/aɪ laɪk tuː trævəl/,ai laik tu travel.,Me gusta viajar.
This is a big airline.,/ðɪs ɪz ə bɪg ˈeərlaɪn/,dis is a big airlain.,Esta es una aerolínea grande.
The headline is very big.,/ðə ˈhɛdlaɪn ɪz ˈvɛri bɪɡ/,de jedlain is beri big.,El titular es muy grande.
It is very dry here.,/ɪt ɪz ˈvɛri draɪ hɪər/,it is beri drai jir.,Está muy seco aquí.
She has an interview.,/ʃiː hæz æn ˈɪntərvjuː/,shi jaz an interviu.,Ella tiene una entrevista.
I see a big plow.,/aɪ siː ə bɪg plaʊ/,ai si a big plau.,Veo un arado grande.
I see a big plantation.,/aɪ siː ə bɪɡ ˌplænˈteɪʃən/,ai si a big plenteishon.,Veo una plantación grande.
The newspaper has a big circulation.,/ðə ˈnjuːzˌpeɪpə hæz ə bɪɡ ˌsɜːkjʊˈleɪʃən/,de niuzpeiper jaz a big sirkulieishon.,El periódico tiene una gran circulación.
The herdsman has a dog.,/ðə ˈhɜːrdzmən hæz ə dɔːɡ/,de jordsman jas a dog.,El pastor tiene un perro.
The field is big.,/ðə fiːld ɪz bɪɡ/,de field is big.,El campo es grande.
They do research here.,/ðeɪ duː ˈriːsɜːrtʃ hɪər/,dei du risarch jier.,Ellos hacen investigación aquí.
The television is big.,/ðə ˈtɛlɪˌvɪʒən ɪz bɪɡ/,de television is big.,La televisión es grande.
She has a good job.,/ʃiː hæz ə ɡʊd dʒɒb/,shi jaz a gud job.,Ella tiene un buen trabajo.
He has a big range of duties.,/hiː hæz ə bɪɡ reɪndʒ əv ˈduːtiz/,ji jas a big reinch ov diutis.,Él tiene una gran gama de deberes.
The pay is very good.,/ðə peɪ ɪz ˈvɛri ɡʊd/,de pei iz beri gud.,El pago es muy bueno.
The driver is very good.,/ðə ˈdraɪvər ɪz ˈvɛri gʊd/,de draiver is beri gud.,El conductor es muy bueno.
She has a long career.,/ʃiː hæz ə lɔːŋ kəˈrɪr/,shi jaz a long kierir.,Ella tiene una larga carrera.
The distributor has water.,/ðə dɪsˈtrɪbjʊtə hæz ˈwɔːtə/,de distributor jaser uater.,El distribuidor tiene agua.
She has a new position.,/ʃiː hæz ə njuː pəˈzɪʃən/,shi jas a niu posishon.,Ella tiene un nuevo puesto.
The director is here.,/ðə dɪˈrɛktə r daɪˈrɛktə ɪz hɪə/,de dairektor iz jia.,El director está aquí.
She has strong skills.,/ʃiː hæz strɔːŋ skɪlz/,shi jaz strong skils.,Ella tiene habilidades fuertes.
The mailman has a bag.,/ðə ˈmeɪlmæn hæz æ bæg/,de meilman jas a bag.,El cartero tiene una bolsa.
I like soccer.,/aɪ laɪk ˈsɒkər/,ai laik so-ker.,Me gusta el fútbol.
I like hockey.,/aɪ laɪk ˈhɒki/,ai laik jo-ki.,Me gusta el hockey.
I like boxing.,/aɪ laɪk ˈbɒksɪŋ/,ai laik box-sing.,Me gusta el boxeo.
I like swimming.,/aɪ laɪk ˈswɪmɪŋ/,ai laik suimin.,Me gusta nadar.
I like baseball.,/aɪ laɪk ˈbeɪsbɔːl/,ai laik beis-bol.,Me gusta el béisbol.
I like basketball.,/aɪ laɪk ˈbɑːskɪtbɔːl/,ai laik bas-ket-bol.,Me gusta el baloncesto.
I like volleyball.,/aɪ laɪk ˈvɒlibɔːl/,ai laik vo-lei-bol.,Me gusta el voleibol.
I like wrestling.,/aɪ laɪk ˈrɛslɪŋ/,ai laik res-ling.,Me gusta la lucha.
I like car racing.,/aɪ laɪk kɑː ˈreɪsɪŋ/,ai laik car reising.,Me gusta las carreras de coches.
The hippie has long hair.,/ðə ˈhɪpi hæz lɒŋ hɛə/,de hippie jas long jer.,El hippie tiene el pelo largo.
He has a big club.,/hiː hæz ə bɪɡ klʌb/,ji jas a big club.,Él tiene un palo grande.
It is a very big goal.,/ɪt ɪz ə vɛri bɪg gəʊl/,it is a beri big gouol.,Es un gol muy grande.
The stadium is very big.,/ðə steɪdiəm ɪz vɛri bɪg/,de estediam is beri big.,El estadio es muy grande.
The trophy is very big.,/ðə ˈtrəʊfi ɪz vɛri bɪɡ/,de trofi is very big.,El trofeo es muy grande.
The coach is very good.,/ðə kəʊtʃ ɪz ˈvɛri gʊd/,de koch is beri gud.,El entrenador es muy bueno.
He has new skis.,/hiː hæz njuː skiːz/,ji jas niu skis.,Él tiene esquís nuevos.
The ring is big.,/ðə rɪŋ ɪz bɪɡ/,de ring is big.,El cuadrilátero es grande.
I like to ski.,/aɪ laɪk tuː skiː/,ai laik tu ski.,Me gusta esquiar.
I like yoga.,/aɪ laɪk ˈjoʊɡə/,ai laik yoga.,Me gusta el yoga.
She is a big fan.,/ʃiː ɪz ə bɪg fæn/,shi is a big fan.,Ella es una gran fan.
He has a big schoolbag.,/hiː hæz ə bɪg ˈskuːlbæɡ/,ji jav a big skulbag.,Él tiene una mochila grande.
The school is big.,/ðə skuːl ɪz bɪg/,de scul is big.,La escuela es grande.
I like to draw.,/aɪ laɪk tuː drɔː/,ai laik tu dro.,Me gusta dibujar.
We like the start.,/wiː laɪk ðə stɑːt/,ui laik de start.,Nos gusta el inicio.
I like physics.,/aɪ laɪk ˈfɪzɪks/,ai laik fiziks.,Me gusta la física.
I am a big fan.,/aɪ æm ə bɪɡ fæn/,ai am a big fan.,Soy un gran fan.
The stadium is big.,/ðə ˈsteɪdiəm ɪz bɪɡ/,de estedium is big.,El estadio es grande.
My vocabulary is big.,/maɪ vəˈkæbjələri ɪz bɪɡ/,mai vokabiuleri is big.,Mi vocabulario es grande.
The adverb is here.,/ðə ˈædvɜːb ɪz hɪə/,de adverb is jier.,El adverbio está aquí.
The pupil has a bag.,/ðə ˈpjuːpɪl hæz ə bæg/,de piupil jas a bag.,La alumna tiene una bolsa.
He has an accent.,/hiː hæz ən ˈæksənt/,ji jas an aksent.,Él tiene acento.
She has a phrasebook.,/ʃiː hæz ə ˈfreɪzbʊk/,shi jas a freizbuk.,Ella tiene un libro de frases.
He has a wand.,/hiː hæz ə wɒnd/,ji jav a uand.,Él tiene una varita.
This box is big.,/ðɪs bɒks ɪz bɪɡ/,dis boks is big.,Este palco es grande.
I like this movie.,/aɪ laɪk ðɪs ˈmuːvi/,ai laik dis muvi.,Me gusta esta película.
He runs very fast.,/hiː rʌnz ˈvɛri fɑːst/,ji rans very fast.,Él corre muy rápido.
I like language.,/aɪ laɪk ˈlæŋɡwɪdʒ/,ai laik langüich.,Me gusta el idioma.
I like phonetics.,/aɪ laɪk fəˈnɛtɪks/,ai laik fonetics.,Me gusta la fonética.
I like opera.,/aɪ laɪk ˈɒprə/,ai laik opera.,Me gusta la ópera.
I like the dragon.,/aɪ laɪk ðə ˈdræɡən/,ai laik de dragon.,Me gusta el dragón.
The workshop is very big.,/ðə ˈwɜːrkʃɒp ɪz ˈvɛri bɪg/,de uerkshop is beri big.,El taller es muy grande.
She has a violin.,/ʃi hæz ə ˌvaɪəˈlɪn/,shi jaz a violin.,Ella tiene un violín.
